street,num_opponents,pot_bb,facing_bet_bb,effective_stack_bb,allow_bluffs,equity,pot_odds,action
river,1,5.53,2.29,28.29,0,0.025,0.292839,FOLD
preflop,1,36.82,23.52,133.39,0,0.61,0.389791,CALL
preflop,4,77.49,19.51,37.43,0,0.135,0.201134,FOLD
turn,3,73.32,12.97,73.81,0,0.485,0.150307,CALL
flop,3,6.72,5.14,141.41,0,0.11,0.43339,FOLD
river,1,40.99,15.19,121.97,0,0.8,0.270381,RAISE
preflop,3,45.14,13.14,44.15,0,0.235,0.225463,CALL
river,2,55.45,5.93,54.96,0,0.53,0.096611,CALL
river,2,55.17,19.25,143.89,0,0.615,0.258667,CALL
flop,4,38.12,23.78,109.76,0,0.09,0.384168,FOLD
turn,4,2.35,0.61,56.18,0,0.08,0.206081,FOLD
preflop,4,24.53,5.51,129.46,0,0.095,0.183422,FOLD
turn,3,29.19,28.59,77.08,0,0.29,0.494808,FOLD
flop,4,42.22,9.74,141.72,0,0.21,0.187452,CALL
river,2,6.04,4.53,114.38,0,0.39,0.428571,FOLD
river,2,60.69,20.64,69.92,0,0.56,0.253781,CALL
turn,2,5.11,0.37,122.61,0,0.105,0.067518,CALL
turn,3,42.79,27.4,113.7,0,0.24,0.390369,FOLD
turn,4,73.44,11.2,127.38,0,0.215,0.132325,CALL
turn,2,34.75,33.64,146.43,0,0.335,0.491885,FOLD
turn,3,68.49,3.16,124.99,0,0.16,0.044103,CALL
preflop,4,40.7,13.4,75.47,0,0.18,0.247689,FOLD
flop,2,77.97,3.5,105.39,0,0.73,0.042961,RAISE
preflop,1,28.25,10.94,146.86,0,0.525,0.279153,CALL
river,1,58.19,1.69,76.97,0,0.06,0.028223,CALL
flop,3,20.53,1.22,94.33,0,0.345,0.056092,CALL
flop,4,77.72,20.64,91.97,0,0.66,0.209841,RAISE
river,1,45.89,3.53,57.19,0,0.0,0.071429,FOLD
turn,1,26.27,15.98,37.63,0,0.58,0.378225,CALL
preflop,1,19.45,14.2,142.59,0,0.655,0.421991,RAISE
river,4,59.47,20.41,149.32,0,0.73,0.255508,RAISE
turn,4,6.22,6.38,37.86,0,0.08,0.506349,FOLD
turn,3,12.06,5.55,96.53,0,0.09,0.315162,FOLD
preflop,2,56.22,22.06,59.15,0,0.425,0.281809,CALL
turn,1,68.48,12.61,107.98,0,0.54,0.155506,CALL
preflop,4,36.37,2.22,105.15,0,0.195,0.057528,CALL
flop,1,10.01,4.95,92.43,0,0.395,0.330882,CALL
preflop,3,10.41,5.18,140.46,0,0.27,0.332264,FOLD
preflop,3,55.56,32.24,37.25,0,0.125,0.367198,FOLD
turn,4,76.62,34.15,60.65,0,0.03,0.308296,FOLD
preflop,2,76.65,18.22,122.21,0,0.435,0.192052,CALL
river,1,18.44,13.93,47.71,0,0.08,0.430337,FOLD
preflop,4,14.19,3.74,117.08,0,0.155,0.208589,FOLD
turn,2,54.36,8.21,57.07,0,0.91,0.131213,RAISE
flop,4,62.0,7.45,24.77,0,0.68,0.107271,RAISE
river,1,56.89,18.25,127.85,0,0.95,0.24288,RAISE
flop,2,12.51,7.7,135.8,0,0.1,0.381,FOLD
preflop,1,39.61,4.56,98.45,0,0.61,0.103237,CALL
river,3,49.73,34.71,71.67,0,0.24,0.411061,FOLD
river,1,75.77,28.71,103.24,0,0.96,0.274789,RAISE
preflop,3,28.52,4.0,86.73,0,0.125,0.123001,CALL
turn,2,17.82,5.34,100.42,0,0.435,0.23057,CALL
preflop,2,44.79,8.3,81.27,0,0.615,0.156338,CALL
turn,3,30.16,19.61,141.14,0,0.1,0.394012,FOLD
turn,2,68.63,4.38,50.5,0,0.21,0.059992,CALL
preflop,2,64.77,15.47,67.55,0,0.405,0.192797,CALL
flop,1,51.68,21.62,55.38,0,0.525,0.294952,CALL
flop,1,42.65,34.37,81.47,0,0.935,0.446248,RAISE
turn,2,26.71,17.9,103.8,0,0.14,0.401255,FOLD
river,2,49.82,11.29,103.32,0,0.215,0.184749,CALL
preflop,4,16.78,10.6,52.34,0,0.075,0.387144,FOLD
river,2,68.75,0.76,126.85,0,0.105,0.010934,CALL
flop,3,41.19,7.73,26.57,0,0.285,0.158013,CALL
river,3,28.87,22.71,120.06,0,0.125,0.440287,FOLD
turn,1,7.19,5.7,106.19,0,0.14,0.442203,FOLD
preflop,2,34.55,20.05,75.44,0,0.435,0.367216,CALL
turn,2,41.18,21.16,112.56,0,0.03,0.339429,FOLD
flop,2,24.71,11.8,59.59,0,0.505,0.323199,CALL
river,2,69.77,6.26,112.57,0,0.09,0.082336,CALL
turn,1,10.49,12.51,40.97,0,0.825,0.543913,RAISE
flop,2,2.12,0.06,101.31,0,0.085,0.027523,CALL
flop,1,18.24,15.0,123.94,0,0.535,0.451264,CALL
preflop,1,66.13,32.83,107.97,0,0.565,0.33175,CALL
flop,3,49.83,11.86,77.67,0,0.23,0.192252,CALL
preflop,4,37.98,5.98,119.83,0,0.13,0.136033,CALL
flop,1,9.06,8.88,135.34,0,0.32,0.494983,FOLD
flop,2,45.32,29.52,66.84,0,0.185,0.394441,FOLD
flop,4,42.32,18.32,99.31,0,0.05,0.302111,FOLD
river,3,68.91,0.5,34.5,0,0.885,0.007204,RAISE
flop,4,54.92,33.66,108.77,0,0.02,0.379995,FOLD
preflop,1,56.26,8.87,80.7,0,0.465,0.136189,CALL
river,3,13.83,5.47,70.87,0,0.44,0.28342,CALL
river,1,63.83,22.52,84.96,0,0.595,0.260799,CALL
preflop,3,11.42,9.37,90.97,0,0.305,0.450697,FOLD
flop,1,50.92,27.39,65.22,0,0.485,0.349764,CALL
flop,3,19.94,2.64,49.61,0,0.59,0.116918,CALL
river,4,23.78,20.83,115.7,0,0.27,0.466936,FOLD
flop,1,69.11,2.47,136.15,0,0.32,0.034507,CALL
preflop,3,28.93,16.88,88.47,0,0.245,0.368478,FOLD
river,3,39.92,23.3,88.92,0,0.935,0.368554,RAISE
river,1,73.79,14.16,84.92,0,0.79,0.161001,RAISE
river,4,13.54,13.87,68.05,0,0.25,0.50602,FOLD
preflop,2,4.09,0.01,54.15,0,0.285,0.002439,CALL
preflop,3,70.05,28.94,109.05,0,0.29,0.292353,CALL
turn,1,60.07,4.15,36.73,0,0.145,0.064622,CALL
flop,1,65.93,26.71,88.75,0,0.555,0.28832,CALL
turn,1,71.79,28.09,142.08,0,0.445,0.281237,CALL
flop,2,4.32,3.82,127.94,0,0.225,0.469287,FOLD
preflop,4,39.12,29.9,85.87,0,0.21,0.433208,FOLD
turn,4,27.15,3.18,83.49,0,0.185,0.104847,CALL
turn,2,70.71,21.97,87.11,0,0.06,0.237052,FOLD
river,3,12.64,3.92,124.46,0,0.03,0.236715,FOLD
flop,4,55.25,33.72,134.33,0,0.53,0.379004,CALL
turn,3,34.83,25.52,91.2,0,0.0,0.422867,FOLD
river,2,22.42,22.92,26.47,0,0.6,0.505514,CALL
turn,2,57.64,24.8,115.69,0,0.895,0.300825,RAISE
preflop,3,59.48,17.19,143.51,0,0.22,0.224208,CALL
river,3,13.99,1.36,127.99,0,0.585,0.088599,CALL
river,4,39.16,19.71,75.0,0,0.1,0.334806,FOLD
turn,2,63.32,29.5,25.88,0,0.135,0.317819,FOLD
turn,1,25.47,14.16,81.62,0,0.195,0.357305,FOLD
preflop,4,56.41,0.73,57.44,0,0.515,0.012776,CALL
river,1,45.83,17.02,149.18,0,0.005,0.270804,FOLD
preflop,4,30.13,23.27,39.71,0,0.125,0.435768,FOLD
river,3,71.24,27.35,72.59,0,0.005,0.277412,FOLD
turn,3,54.02,28.53,94.46,0,0.09,0.345609,FOLD
river,4,38.92,26.13,142.73,0,0.0,0.401691,FOLD
preflop,4,54.04,5.21,114.62,0,0.13,0.087932,CALL
river,1,10.94,1.3,41.86,0,0.64,0.106209,CALL
flop,2,61.51,22.8,36.32,0,0.4,0.270431,CALL
river,3,70.95,33.09,102.57,0,0.0,0.318051,FOLD
turn,3,55.08,24.82,44.9,0,0.32,0.310638,CALL
flop,4,30.19,26.57,134.89,0,0.22,0.468111,FOLD
preflop,1,31.44,31.15,110.14,0,0.39,0.497683,FOLD
preflop,2,64.17,2.12,60.52,0,0.23,0.031981,CALL
turn,2,39.5,26.89,125.9,0,0.105,0.405031,FOLD
flop,4,70.51,2.29,38.78,0,0.075,0.031456,CALL
flop,1,18.16,19.5,78.77,0,0.315,0.517791,FOLD
river,2,28.03,22.71,52.5,0,0.96,0.447576,RAISE
flop,3,19.59,10.01,117.84,0,0.085,0.338176,FOLD
turn,4,32.51,34.64,36.79,0,0.11,0.51586,FOLD
river,2,56.48,3.34,110.82,0,0.035,0.055834,FOLD
flop,2,38.72,9.77,40.98,0,0.66,0.201485,RAISE
preflop,2,76.78,3.38,128.6,0,0.405,0.042166,CALL
flop,2,27.9,21.27,134.92,0,0.305,0.432581,FOLD
river,1,72.72,23.28,52.28,0,0.485,0.2425,CALL
river,2,65.93,27.77,22.58,0,0.79,0.296371,RAISE
river,4,51.53,12.89,27.5,0,0.005,0.200093,FOLD
river,2,74.54,13.93,60.05,0,0.01,0.157455,FOLD
river,1,53.9,27.62,25.44,0,0.85,0.338813,RAISE
preflop,4,20.22,11.76,116.1,0,0.205,0.36773,FOLD
turn,2,74.68,26.82,98.09,0,0.16,0.264236,FOLD
river,3,67.3,17.49,79.25,0,0.98,0.206274,RAISE
flop,3,60.68,20.31,124.66,0,0.315,0.250772,CALL
river,3,2.9,0.41,35.87,0,0.125,0.123867,CALL
flop,1,45.87,29.8,24.55,0,0.645,0.393815,CALL
turn,3,54.77,32.91,38.62,0,0.02,0.375342,FOLD
preflop,4,9.45,3.96,94.38,0,0.19,0.295302,FOLD
turn,1,51.5,2.68,51.2,0,0.42,0.049465,CALL
flop,2,66.87,29.78,131.51,0,0.24,0.308122,FOLD
turn,3,10.48,5.52,129.12,0,0.225,0.345,FOLD
flop,3,39.9,26.63,52.21,0,0.03,0.400271,FOLD
flop,2,26.95,1.54,25.32,0,0.615,0.054054,CALL
turn,2,43.62,5.38,36.62,0,0.525,0.109796,CALL
turn,3,68.49,10.37,54.91,0,0.0,0.131499,FOLD
flop,3,22.97,16.03,125.01,0,0.795,0.411026,RAISE
flop,2,21.37,2.14,38.54,0,0.125,0.091025,CALL
preflop,1,50.02,4.14,140.03,0,0.54,0.07644,CALL
preflop,2,64.57,22.89,51.97,0,0.345,0.26172,CALL
river,1,13.46,2.28,51.86,0,0.98,0.144854,RAISE
river,4,26.43,20.36,127.54,0,0.82,0.435136,RAISE
preflop,2,56.81,3.41,72.95,0,0.275,0.056626,CALL
preflop,1,23.85,10.4,31.6,0,0.34,0.30365,CALL
river,4,10.51,2.27,34.09,0,0.13,0.177621,FOLD
river,2,66.78,3.24,137.21,0,0.05,0.046272,CALL
turn,3,65.47,0.57,136.57,0,0.2,0.008631,CALL
preflop,4,10.93,11.23,143.57,0,0.09,0.506769,FOLD
river,4,20.02,17.06,36.42,0,0.115,0.460086,FOLD
river,3,71.78,3.25,84.25,0,0.0,0.043316,FOLD
flop,2,76.35,12.2,91.69,0,0.535,0.137775,CALL
river,2,29.9,2.54,105.4,0,0.01,0.078298,FOLD
flop,2,46.96,9.98,103.68,0,0.28,0.175272,CALL
preflop,1,22.26,20.97,34.4,0,0.51,0.48508,CALL
preflop,2,65.49,26.66,86.81,0,0.32,0.289311,CALL
turn,3,6.15,2.01,32.72,0,0.26,0.246324,CALL
river,2,15.28,12.49,41.66,0,0.645,0.449766,CALL
river,4,10.8,8.89,114.67,0,0.495,0.451498,CALL
flop,2,25.68,8.88,123.97,0,0.475,0.256944,CALL
river,4,45.23,10.54,31.13,0,0.475,0.18899,CALL
river,3,46.1,24.17,132.36,0,0.375,0.343959,CALL
preflop,2,41.9,24.49,46.05,0,0.385,0.368881,CALL
turn,4,57.78,27.53,56.18,0,0.01,0.322705,FOLD
river,2,17.27,10.18,108.25,0,0.1,0.370856,FOLD
flop,2,6.02,3.9,22.93,0,0.125,0.393145,FOLD
turn,2,23.1,1.16,24.63,0,0.085,0.047815,CALL
flop,2,36.21,9.89,60.84,0,0.305,0.214534,CALL
turn,4,67.23,9.46,96.47,0,0.05,0.123354,FOLD
preflop,4,60.16,32.36,37.14,0,0.245,0.349762,FOLD
turn,2,13.46,9.98,26.45,0,0.02,0.425768,FOLD
preflop,2,73.13,0.89,99.17,0,0.38,0.012024,CALL
turn,2,37.02,14.66,94.01,0,0.055,0.283669,FOLD
flop,3,48.14,21.58,149.24,0,0.12,0.309524,FOLD
preflop,3,14.92,5.15,83.26,0,0.19,0.256602,FOLD
flop,3,23.54,17.81,86.67,0,0.39,0.430713,FOLD
turn,4,43.38,33.4,134.13,0,0.04,0.435009,FOLD
turn,4,22.33,1.46,83.12,0,0.15,0.06137,CALL
turn,4,5.3,1.8,23.15,0,0.055,0.253521,FOLD
preflop,4,58.75,33.3,119.15,0,0.145,0.36176,FOLD
river,3,76.84,8.25,79.98,0,0.0,0.096956,FOLD
preflop,2,42.9,29.03,21.28,0,0.33,0.403587,FOLD
flop,4,18.33,0.06,50.14,0,0.135,0.003263,CALL
preflop,3,58.82,7.48,92.77,0,0.205,0.112821,CALL
river,4,67.06,4.18,77.64,0,0.0,0.058675,FOLD
turn,1,61.8,27.61,48.28,0,0.33,0.308802,CALL
river,2,28.69,33.34,91.71,0,0.215,0.537482,FOLD
preflop,3,39.64,14.04,25.22,0,0.07,0.26155,FOLD
preflop,3,9.79,6.46,71.23,0,0.36,0.397538,FOLD
river,3,32.17,28.74,24.53,0,0.0,0.471844,FOLD
flop,3,17.41,16.98,114.59,0,0.085,0.493748,FOLD
river,1,7.97,3.57,39.08,0,0.95,0.309359,RAISE
river,2,3.41,1.33,28.28,0,0.0,0.280591,FOLD
river,3,45.4,17.18,50.51,0,0.49,0.274529,CALL
flop,4,47.25,14.63,74.38,0,0.245,0.236425,CALL
preflop,2,21.1,18.28,29.08,0,0.325,0.464195,FOLD
river,2,61.04,11.99,109.6,0,0.01,0.164179,FOLD
river,3,42.82,13.23,140.39,0,0.18,0.236039,FOLD
river,3,9.13,2.08,127.99,0,0.04,0.185549,FOLD
flop,3,69.65,8.72,55.79,0,0.155,0.111267,CALL
turn,2,74.76,16.52,131.31,0,0.3,0.180982,CALL
turn,4,21.49,25.45,96.19,0,0.11,0.542182,FOLD
preflop,2,11.3,5.57,71.52,0,0.465,0.330172,CALL
preflop,1,2.67,1.03,39.56,0,0.585,0.278378,CALL
turn,4,48.04,4.36,146.0,0,0.14,0.083206,CALL
preflop,2,56.22,26.68,27.95,0,0.265,0.321834,FOLD
turn,2,68.84,28.33,20.09,0,0.08,0.291551,FOLD
river,1,67.16,8.32,71.58,0,0.265,0.110228,CALL
river,2,33.01,32.94,149.81,0,0.07,0.499469,FOLD
flop,3,18.28,16.09,97.22,0,0.39,0.468141,FOLD
preflop,3,70.27,33.23,25.33,0,0.12,0.321063,FOLD
preflop,4,49.32,30.46,106.78,0,0.17,0.3818,FOLD
preflop,4,60.76,27.33,42.37,0,0.145,0.310251,FOLD
preflop,4,12.38,5.72,129.85,0,0.315,0.316022,CALL
preflop,3,69.08,34.52,52.1,0,0.175,0.333205,FOLD
flop,3,20.14,19.3,86.03,0,0.095,0.489351,FOLD
flop,3,78.88,22.16,64.16,0,0.185,0.219319,FOLD
turn,2,72.22,17.42,98.46,0,0.51,0.194333,CALL
river,3,45.78,21.34,59.77,0,0.0,0.317938,FOLD
preflop,3,78.78,34.55,127.45,0,0.31,0.304862,CALL
river,3,68.73,9.15,118.93,0,0.08,0.117488,FOLD
flop,2,28.2,24.4,23.29,0,0.165,0.463878,FOLD
preflop,3,78.45,22.28,82.29,0,0.255,0.221185,CALL
river,3,52.23,7.47,38.37,0,0.0,0.125126,FOLD
river,2,25.99,2.06,101.02,0,0.085,0.07344,CALL
river,4,73.51,3.88,141.55,0,0.0,0.050136,FOLD
turn,4,28.18,27.16,130.97,0,0.0,0.490784,FOLD
river,1,35.77,24.0,47.33,0,0.9,0.401539,RAISE
river,1,53.08,33.88,52.72,0,0.015,0.389604,FOLD
preflop,3,31.75,30.46,39.42,0,0.385,0.489632,FOLD
preflop,3,51.26,11.85,60.38,0,0.135,0.187767,FOLD
preflop,1,43.28,16.19,137.06,0,0.475,0.272238,CALL
preflop,1,30.75,27.15,149.09,0,0.44,0.468912,FOLD
river,2,13.82,8.67,142.22,0,0.025,0.385505,FOLD
preflop,4,3.83,3.28,73.94,0,0.1,0.461322,FOLD
preflop,2,61.26,25.75,58.82,0,0.275,0.295943,FOLD
turn,4,59.86,13.05,56.4,0,0.02,0.178988,FOLD
turn,2,20.32,10.92,20.25,0,0.3,0.349552,FOLD
river,2,68.39,20.08,147.04,0,0.205,0.22697,FOLD
river,1,4.43,0.64,44.14,0,0.81,0.126233,RAISE
preflop,2,49.08,16.42,61.97,0,0.365,0.250687,CALL
river,2,57.68,28.29,143.25,0,0.09,0.329068,FOLD
preflop,4,11.04,0.53,46.32,0,0.43,0.045808,CALL
flop,1,60.68,1.5,61.66,0,0.425,0.024124,CALL
preflop,1,55.93,34.13,89.26,0,0.385,0.37897,CALL
turn,4,57.93,32.64,79.68,0,0.245,0.360384,FOLD
flop,1,10.69,12.53,113.54,0,0.35,0.539621,FOLD
river,1,68.09,14.3,77.74,0,0.94,0.173565,RAISE
river,4,46.59,12.58,22.66,0,0.0,0.212608,FOLD
river,2,24.48,13.81,75.02,0,0.06,0.360669,FOLD
flop,1,78.66,4.76,57.34,0,0.52,0.057061,CALL
river,2,3.28,0.89,77.07,0,0.28,0.213429,CALL
river,4,28.06,20.64,65.1,0,0.005,0.423819,FOLD
turn,1,19.09,20.96,41.53,0,0.46,0.523346,FOLD
preflop,3,8.33,1.62,82.55,0,0.23,0.162814,CALL
turn,3,53.95,3.06,41.48,0,0.88,0.053675,RAISE
turn,3,18.42,10.2,111.42,0,0.7,0.356394,RAISE
preflop,4,9.27,9.74,63.49,0,0.185,0.512362,FOLD
flop,4,73.3,21.31,50.02,0,0.07,0.22524,FOLD
flop,4,3.61,0.56,117.42,0,0.245,0.134293,CALL
flop,1,79.39,5.68,64.47,0,0.72,0.066769,RAISE
flop,1,50.75,1.14,128.58,0,0.17,0.02197,CALL
flop,3,72.69,23.03,33.06,0,0.49,0.240598,CALL
preflop,1,35.52,21.46,70.5,0,0.475,0.376623,CALL
turn,2,58.5,27.5,132.94,0,0.165,0.319767,FOLD
river,4,17.67,18.32,129.13,0,0.035,0.50903,FOLD
turn,1,59.14,25.23,75.23,0,0.89,0.29904,RAISE
flop,1,79.32,22.51,135.67,0,0.57,0.221055,CALL
preflop,2,12.34,6.82,106.02,0,0.385,0.35595,CALL
flop,3,49.29,32.42,123.78,0,0.235,0.396769,FOLD
flop,2,50.74,2.5,113.72,0,0.545,0.046957,CALL
preflop,3,40.31,31.86,29.96,0,0.18,0.441458,FOLD
turn,1,33.73,8.41,98.27,0,0.92,0.199573,RAISE
river,1,20.93,10.54,113.21,0,0.135,0.334922,FOLD
river,3,4.93,4.06,27.48,0,0.395,0.451613,FOLD
flop,1,2.83,0.63,126.65,0,0.94,0.182081,RAISE
preflop,2,49.31,17.7,29.56,0,0.27,0.26414,CALL
turn,1,76.32,26.87,53.02,0,0.225,0.260393,FOLD
turn,1,41.58,34.76,95.51,0,0.67,0.455331,RAISE
turn,1,33.81,24.49,148.7,0,0.265,0.420069,FOLD
flop,1,74.03,7.58,93.03,0,0.635,0.092881,CALL
preflop,4,43.17,21.42,56.3,0,0.14,0.33163,FOLD
preflop,4,75.05,23.61,54.16,0,0.135,0.239307,FOLD
flop,1,12.99,6.17,86.33,0,0.615,0.322025,CALL
river,3,33.86,11.85,94.42,0,0.36,0.259243,CALL
preflop,1,42.78,26.95,42.65,0,0.36,0.386491,FOLD
flop,1,56.23,15.45,66.4,0,0.655,0.215541,RAISE
flop,4,31.71,21.68,109.13,0,0.27,0.406069,FOLD
preflop,2,33.48,20.62,132.88,0,0.515,0.381146,CALL
turn,3,8.88,3.13,33.98,0,0.02,0.260616,FOLD
flop,2,74.94,19.51,138.68,0,0.325,0.206564,CALL
river,2,52.13,28.9,148.86,0,0.89,0.356658,RAISE
turn,2,16.85,1.27,46.02,0,0.49,0.070088,CALL
preflop,1,32.61,19.23,43.61,0,0.41,0.370949,CALL
preflop,4,58.53,16.21,116.68,0,0.12,0.216885,FOLD
flop,1,22.69,15.09,98.86,0,0.54,0.399418,CALL
river,1,49.74,6.87,20.64,0,0.265,0.121357,CALL
river,2,4.89,3.36,76.09,0,0.105,0.407273,FOLD
flop,2,77.57,4.15,55.81,0,0.32,0.050783,CALL
turn,1,21.48,3.21,100.1,0,0.705,0.130012,RAISE
river,1,44.46,18.09,125.6,0,0.05,0.289209,FOLD
river,2,11.4,0.07,45.87,0,0.12,0.006103,CALL
river,3,21.44,25.66,28.55,0,0.555,0.544798,CALL
preflop,4,64.95,2.34,126.93,0,0.185,0.034775,CALL
flop,2,14.54,2.1,143.08,0,0.085,0.126202,FOLD
flop,3,72.57,3.1,95.53,0,0.24,0.040967,CALL
turn,4,23.47,15.4,20.04,0,0.145,0.396192,FOLD
flop,1,72.98,12.61,144.3,0,0.325,0.14733,CALL
river,3,44.58,21.58,89.99,0,0.04,0.326179,FOLD
river,1,42.14,9.1,68.41,0,0.035,0.177596,FOLD
river,2,68.85,12.93,123.86,0,0.63,0.158107,CALL
flop,1,10.45,7.38,147.66,0,0.325,0.413909,FOLD
river,3,30.24,26.33,143.5,0,0.31,0.465441,FOLD
preflop,2,66.48,8.92,112.92,0,0.325,0.118302,CALL
preflop,2,52.2,4.32,89.76,0,0.22,0.076433,CALL
turn,1,32.57,28.59,142.68,0,0.215,0.467462,FOLD
flop,1,47.99,26.43,122.2,0,0.795,0.355146,RAISE
river,4,44.25,3.52,99.84,0,0.83,0.073686,RAISE
turn,2,11.87,13.44,37.25,0,0.255,0.531015,FOLD
river,3,41.95,2.61,26.94,0,0.115,0.058573,CALL
turn,2,14.55,4.57,78.84,0,0.18,0.239017,FOLD
flop,3,19.71,15.28,123.67,0,0.315,0.436696,FOLD
river,4,5.04,2.6,45.19,0,0.04,0.340314,FOLD
flop,1,53.95,21.0,135.63,0,0.705,0.280187,RAISE
preflop,4,51.43,21.62,24.16,0,0.12,0.295962,FOLD
preflop,2,76.87,12.57,118.8,0,0.325,0.140541,CALL
turn,2,14.53,6.07,21.44,0,0.1,0.29466,FOLD
flop,3,71.92,11.71,146.79,0,0.515,0.140022,CALL
turn,1,29.5,31.86,122.14,0,0.315,0.519231,FOLD
river,1,79.64,4.83,113.91,0,0.26,0.05718,CALL
flop,2,56.25,3.61,68.48,0,0.77,0.060307,RAISE
preflop,1,50.37,13.72,39.61,0,0.45,0.214074,CALL
flop,2,12.1,2.45,37.51,0,0.255,0.168385,CALL
preflop,2,76.05,1.22,109.64,0,0.405,0.015789,CALL
preflop,3,16.46,7.88,38.54,0,0.135,0.323747,FOLD
river,2,13.08,1.89,67.89,0,0.835,0.126253,RAISE
river,2,65.47,32.64,28.17,0,0.8,0.332688,RAISE
turn,2,28.83,24.88,145.63,0,0.49,0.463228,CALL
flop,4,9.78,7.57,143.78,0,0.47,0.436311,CALL
flop,2,30.98,1.73,70.65,0,0.665,0.052889,RAISE
flop,3,8.75,10.26,54.8,0,0.46,0.539716,FOLD
turn,2,7.79,3.99,136.12,0,0.08,0.33871,FOLD
preflop,3,67.69,27.11,83.22,0,0.175,0.28597,FOLD
turn,2,77.11,15.45,34.29,0,0.105,0.166919,FOLD
turn,1,63.75,10.69,35.77,0,0.95,0.143606,RAISE
flop,3,17.03,12.88,121.97,0,0.04,0.430625,FOLD
turn,3,32.93,7.75,29.42,0,0.005,0.190511,FOLD
turn,4,22.55,26.89,59.27,0,0.205,0.543892,FOLD
preflop,4,13.08,7.51,99.29,0,0.24,0.36474,FOLD
flop,4,10.26,9.69,98.09,0,0.145,0.485714,FOLD
turn,1,54.23,31.18,136.84,0,0.49,0.365063,CALL
preflop,2,17.78,6.19,59.27,0,0.28,0.258239,CALL
turn,3,44.33,4.96,98.6,0,0.32,0.100629,CALL
turn,1,23.26,14.92,130.63,0,0.605,0.390781,CALL
preflop,3,62.52,33.59,102.91,0,0.27,0.349495,FOLD
river,1,19.11,9.91,73.28,0,0.93,0.341489,RAISE
preflop,2,65.54,14.26,117.11,0,0.735,0.178697,RAISE
turn,2,2.49,2.69,89.97,0,0.085,0.519305,FOLD
turn,2,48.98,23.49,101.68,0,0.045,0.324134,FOLD
river,2,33.1,20.35,125.1,0,0.035,0.38073,FOLD
river,2,50.27,25.79,54.05,0,0.855,0.339074,RAISE
turn,4,31.04,24.08,26.19,0,0.085,0.436865,FOLD
turn,3,55.41,11.4,97.65,0,0.3,0.170633,CALL
turn,3,15.28,15.43,38.19,0,0.37,0.502442,FOLD
preflop,4,41.82,1.06,45.38,0,0.26,0.02472,CALL
